Date,DJI,NIFTY,UKX
2017-05-31,21008.65,9891.7,7485.29
2017-06-01,21144.18,9886.35,7514.9
2017-06-02,21206.29,9915.95,7517.71
2017-06-05,21184.04,9827.15,7547.63
2017-06-06,21136.23,9899.6,7526.51
2017-06-07,21173.69,9873.3,7519.95
2017-06-08,21182.53,9915.25,7543.77
2017-06-09,21271.97,9966.4,7547.63
2017-06-12,21235.67,9964.55,7525.76
2017-06-13,21328.47,10020.65,7524.95
2017-06-14,21374.56,10020.55,7478.62
2017-06-15,21359.9,10014.5,7449.98
2017-06-16,21384.28,10077.1,7527.33
2017-06-19,21528.99,10114.65,7511.87
2017-06-20,21467.14,10081.5,7500.44
2017-06-21,21410.03,10013.65,7474.4
2017-06-22,21397.29,10066.4,7419.36
2017-06-23,21394.76,10057.4,7463.54
2017-06-26,21409.55,9978.55,7523.81
2017-06-27,21310.66,9908.05,7472.71
2017-06-28,21454.61,9820.25,7447.79
2017-06-29,21287.03,9710.8,7439.29
2017-06-30,21349.63,9794.15,7424.13
2017-07-03,21479.27,9897.3,7446.8
2017-07-05,21478.17,9904.15,7434.36
2017-07-06,21320.04,9837.4,7387.8
2017-07-07,21414.34,9754.35,7350.32
2017-07-10,21408.52,9765.55,7312.72
2017-07-11,21409.07,9852.5,7377.09
2017-07-12,21532.14,9857.05,7357.23
2017-07-13,21553.09,9912.8,7367.6
2017-07-14,21637.74,9796.05,7337.28
2017-07-17,21629.72,9884.4,7350.92
2017-07-18,21574.73,9917.9,7370.03
2017-07-19,21640.75,9974.4,7329.76
2017-07-20,21611.78,9912.85,7416.93
2017-07-21,21580.07,9952.2,7413.44
2017-07-24,21513.17,9916.2,7378.39
2017-07-25,21613.43,9929.9,7404.13
2017-07-26,21711.01,9934.8,7390.22
2017-07-27,21796.55,10006.05,7430.91
2017-07-28,21830.31,10093.05,7487.87
2017-07-31,21891.12,10079.3,7452.91
2017-08-01,21963.92,10086.6,7377.73
2017-08-02,22016.24,10085.4,7434.82
2017-08-03,22026.1,10153.1,7452.32
2017-08-04,22092.81,10147.55,7443.01
2017-08-07,22118.42,10141.15,7368.37
2017-08-08,22085.34,10121.9,7372
2017-08-09,22048.7,9964.4,7423.66
2017-08-10,21844.01,9872.6,7411.43
2017-08-11,21858.32,9871.5,7474.77
2017-08-14,21993.71,9735.75,7511.71
2017-08-15,21998.99,9768.95,7531.94
2017-08-16,22024.87,9788.6,7542.73
2017-08-17,21750.73,9859.5,7498.06
2017-08-18,21674.51,9914.9,7389.94
2017-08-21,21703.75,9888.7,7309.96
2017-08-22,21899.89,9979.7,7353.89
2017-08-23,21812.09,9988.75,7383.85
2017-08-24,21783.4,10016.95,7433.03
2017-08-25,21813.67,9984.8,7387.87
2017-08-28,21808.4,10096.4,7323.98
2017-08-29,21865.37,10167.45,7318.88
2017-08-30,21892.43,10230.85,7381.74
2017-08-31,21948.1,10234.45,7382.65
2017-09-01,21987.56,10210.85,7407.06
2017-09-05,21753.31,10146.55,7401.46
2017-09-06,21807.64,10184.85,7337.43
